-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,57,58,58,58,58,58,58,58,58,58,58,58,58,58,59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,57,58,58,58,58,75,72,72,72,72,72,72,72,72,72,72,72,72,72,74,58,58,58,59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,57,59,-1,-1
-1,-1,-1,-1,57,58,75,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,74,58,58,59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,85,87,-1,-1
-1,-1,-1,-1,85,86,61,72,72,72,72,77,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,74,58,59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,85,86,86,61,72,72,72,72,76,72,72,72,72,72,76,72,72,72,77,72,72,72,72,72,72,72,72,72,74,59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,85,61,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,76,72,72,72,72,72,73,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,18,44,44,44,19,-1,-1,-1,85,61,72,72,72,72,72,72,72,77,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,73,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,31,20,20,20,29,-1,-1,-1,-1,85,61,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,73,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,32,17,20,20,29,-1,-1,-1,-1,-1,85,61,72,72,77,72,72,72,72,72,72,72,72,72,72,72,72,77,72,72,72,60,86,87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,32,16,16,33,-1,-1,-1,-1,-1,-1,85,61,72,72,72,72,72,72,72,72,72,76,72,72,72,72,72,72,60,86,87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,85,61,72,72,72,72,72,72,72,72,72,72,72,72,72,72,60,87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,85,86,86,61,72,72,72,72,72,72,72,72,60,86,86,87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
